ID	class	tweet
636355542135365632	neutral	Rachel Maddow re Bernie Sanders leading in NH in 2nd poll said Tell me again why Joe Biden? is the 1 that can challenge Hillary on the left?
636539211429097472	negative	C'mon Joe Biden. You really don't want to be President. Stop thinking with your ego and start thinking about the party and the people.
636567874031652864	negative	The continued attacks on the 2nd Amendment will continue if America is foolish enough to ever elect Joe Biden for POTUS (Obama's 3rd term).
636583537953517572	negative	Joe Biden for Presient? Really? He may be a nice guy, but the man is a buffoon.
636597382935916545	negative	Dear journalists, please quit with the Joe Biden stories &amp; speculation. He's not even our 3rd choice. Sincerely, Democrats everywhere.
636615966814670848	positive	Anyway,  peace! I support both Hillary and Bernie and will support Joe Biden should he run. He may indeed! https://t.co/lmy1ttqYgz
636662444077649920	negative	@JenniferShutt @politico @mkraju "Bennet later dodged a question about the possibility of a Joe Biden run", 4th down eh? UR all hypocrites!
636664800735432704	neutral	Biden gauging his 'emotional fuel': Vice President Joe Biden revealed to members of the Democratic National Committee Wednesday...  #news
636673055796826112	neutral	@lovetheusaorlea @Ainsmommy @jody_mc @NicoleT_E86 @HawaiianAngel10 ok, anyone believe Joe Biden may make a run at it?
636709453060968448	positive	TOP REASONS JOE BIDEN SHOULD RUN FOR PRESIDENT: Jimmy Fallon may invite him on his show to play something with ping-pong balls.
636722867225411586	neutral	Joe Biden will meet with Jewish Leaders in Miami re IranDeal on September 3. http://t.co/ZROCDVNyCQ
636727158614937601	neutral	Clinton backer Tom Harkin tells friend Joe Biden there are ways he can serve the country, but don't run a 3rd time.  http://t.co/IZbvSK0Gfs
636879256291643392	neutral	Vice President Joe Biden will meet with AFL-CIO Richard Trumka later Thursday, further fueling talk that he may... http://t.co/MyjexGaviL
636880479631876096	negative	@Chinese_Surfer @CNNPolitics @OutFrontCNN 1st, Clinton is the worst debater. 2nd, have you ever heard Joe Biden open his mouth? Hes a clown!
636883086320496640	neutral	Joe Biden will meet with AFL-CIO president, further fueling talk that he may enter the White House race. I predict a Labor Day announcement.
636910703039766528	neutral	Joe Biden confirms he is deciding on whether to run for president | US news | The Guardian http://t.co/rXRBVxE6U2
637056548452306944	neutral	Joe Biden on why he may not run for president: "my whole heart and my whole soul, both are pretty well banged up." http://t.co/2Fb3jLBTah
637162618042474496	positive	Why Joe Biden May Be the Best Hope for Small Businesses http://t.co/XnwT2e3cth
637173823880699904	neutral	Happy Friday.  Here's Joe Biden being creepy with anime characters.  http://t.co/vjFcdjfsvB
637228562857218048	neutral	@Milbank doesn't think Vice President Joe Biden will run, Biden recognizes that he won't win - retiring as a sitting VP may be a better idea
637238733453041664	neutral	My early presidential prediction: 1year from now we will be down to just 2...Joe Biden vs Marco Rubio. You heard it here 1st!
637263612449525760	positive	Happy Friday: Here's Joe Biden making a cameo on a 1993 episode of "Where in the World is Carmen Sandiego?" http://t.co/SJMqRV5jCG
637275001490644993	positive	Starting to hope Joe Biden enters the race. It may just be time for an alternative. A debate between Joe and Trump would be epic.
637303765108981760	positive	With Joe Biden, campaign 2016 fun about to begin http://t.co/t2FEgC9OWj via @WashTimes #Election2016
637324162583949312	neutral	Los Angeles Times - Joe Biden may not be at big confab for Democrats, but he dominates the conversation http://t.co/vHJF2ZXOa7
637351689452978177	neutral	Joe Biden obstacles in longshot run against Hill Clinton http://t.co/NQAHu1jR6I just remember why he was neva elected POTUS in the 1st place
637367317144408064	neutral	WASHINGTON (Reuters) - U.S. Vice President Joe Biden will meet on Thursday with AFL-CIO President Richard Trumka as he explores whether to
637376504092061700	negative	"Joe Biden may join Bernie Sanders in the Democrat primary... I thought the Democrats were opposed to fossil fools!" ~ Emily Zanotti,
637411004750520320	positive	Take a good look at Bernie Saunders, he's giving Hillary a run for her money. Joe Biden may join the race. And they're off!
637438922126069760	neutral	MINNEAPOLIS (Reuters) - Joe Biden got plenty of love from top Democrats on Friday, but their views about a pos... http://t.co/BSAo3tqBFh
637494633149280257	neutral	Joe Biden or Donald Trump may be the next president of the United States. Just think about that for a little bit
637776983565443072	neutral	Published on Aug 24, 2015 Vice President Joe Biden met with Senator Elizabeth Warren to discuss his potential run... http://t.co/FPMqDhx3Vh
637831727587659776	positive	Why Joe Biden may well be a great candidate for SMBs--if he'll run of course: http://t.co/QfmmfiTLW1 @jeremyquittner
637987172700721152	neutral	If Vice President Joe Biden decides to run for president, the most difficult task for him may come in cobbling... http://t.co/jGkf9ua84W
638757049808068608	positive	P2016: AFL-CIO Pres Dick Trumka to march with Joe Biden in Labor Day parade."People can read into that...what they want. He's a good friend"
638792966551830529	neutral	The constant drip drip of Hilary's email scandal continues as Joe Biden waits in the wings Hilary's campaign days may indeed be numbered!
638814590760001536	neutral	By Jeff Mason WASHINGTON, Aug 28 (Reuters) - Backers of Vice President Joe Biden are reaching out to donors and activists in the gay and
639046032140185600	neutral	Joe Biden appears on Late Show w/ Stephen Colbert Sept 10. Does he have something to announce? http://t.co/7hKLEtYsBt http://t.co/n2N0yxoTfe
639074965418049536	neutral	Welcome to the 305 Veep @wsvn: Joe Biden kicking off a two-day visit South Florida, Wednesday. http://t.co/35oFv1PNAM http://t.co/Ht9OC1x78n
639123703092015104	positive	I think Joe Biden will announce he's running for president on Colbert next Thursday.
639144734250897409	neutral	Joe Biden is headed to Atlanta tomorrow as speculation mounts about a presidential run. W/ @ajconwashington: http://t.co/dQElpYSkyM #gapol
639197439614828544	neutral	Vice President Joe Biden soaked up some sun in Florida, preparing to meet with fundraisers there as he stokes ... http://t.co/jZdR1xijaL
639204585538781184	neutral	ALERT: Vice President Joe Biden will be speaking at the JCC tomorrow. ROAD BLOCKS And MAJOR traffic is expected... http://t.co/3LWAvcGd8d
639212002582396928	neutral	Vice President Joe Biden on Wednesday was scheduled for a Miami speech on the importance of community colleges,... http://t.co/oR21cexwzk
639218843798245378	neutral	Political observers believe Joe Biden may soon announce a decision about a possible presidential run. #Decision2016 http://t.co/nyZYSTY4dV
639228329334341632	positive	Great piece on Joe Biden and all-important Florida. Wish I knew the folks in the condominiums he visits. #DraftBiden https://t.co/tOpV0DZbWt
639376314756132864	negative	Triple Traffic Threat: #dragoncon.  Thursday @7:30, Falcons game, Georgia Tech game, and Joe Biden   on the downtown connector.
639453806833459203	negative	Joe Biden wants to sit in on the hearings to watch Hillary's IT patsy take the 5th. https://t.co/tMomTOfyyM
639489786819047424	negative	Joe Biden is not going to run for President.  He may even resign as Vice President before term ends.
639505888911446016	positive	You know, what if Joe Biden runs for president with Obama as his Vice then steps down so Obama is president for a 3rd term?
639528914570866688	negative	GA Tech Game, Falcons Game, Joe Biden in town, Dragon Con, Labor Day Traffic, Rain Traffic..I may just stay the night where im at fuck it.
639600302966964224	positive	Fighting corruption is not just good governance. It's self-defense. It's patriotism. - Joe Biden  Good Morning. Have a blessfull Friday!
639611534730260480	negative	Oh I get it, Joe Biden was here or something. That may explain the incredible traffic.  Or that may honestly just be Atlanta
