ID	class	tweet
632374683334258688	negative	Hey @Microsoft, I reserved my copy of @Windows 10 back in June, but i haven't been invited to download. Any updates on the timeline?
632536348419690496	negative	@eyesonfoxorg @Microsoft I'm still using Vista on one &amp; Win-7 on another, Vista is a dinosaur, unfortunately I may use a free 10 with limits
632805868334153728	negative	@Microsoft Is it normal that it takes hours to check the email name for creating an microsoft account? 2nd try!
632810315227467776	neutral	@MisterMetokur @Microsoft @ATT @NSAGov That's confidential and privileged information sir. No matter how great the sex may or may not be.
632949742750687232	neutral	@ForbesRussia #MBA #casestudy Namaste 2 #google and @Microsoft's CEOs, but #Multiculturals mttr!May B the era of Bad Translations wd B Over?
633041928922132480	negative	After 75 minutes of being on hold with @Microsoft in India 1-800-936-5700 "Adrian" wants to transfer my call again (3rd time) #Windows10Fail
633119630417129476	negative	@Microsoft On hold with support for 52 minutes now. C'mon.
633500866096574464	negative	Beyond frustrated with my #Xbox360 right now, and that as of June, @Microsoft doesn't support it. Gotta find someone else to fix the drive.
633594289029808128	negative	@Microsoft Heard you are a software company. Why then is most of your software so bad that it has to be replaced by 3rd party apps?
633694793852407808	positive	PAX Prime Thursday is overloaded for me with @Microsoft and Nintendo indie events going down. Also, cider!!! :p
633757225945665537	positive	I traveled to Redmond today. I'm visiting with @Microsoft @SQLServer engineers tomorrow - at their invitation. Feeling excited.
260101664638398464	positive	Good to see Flacco showing some fight in the 2nd half. That's about all I can ask for at this point.
263839796097605632	positive	Halloween is the third biggest party day of the year behind New Year's Eve and Super Bowl Sunday
212599863785963522	positive	Happy Valentine's Day (to you that may have one)
214034282228875264	negative	My body is exhausted. I walked from 79th and Jeffery to the lakefront, where i accidentally sat on dead fish, to 55th and King Dr. and back.
264162727788953600	neutral	[INFO] TaeTiSeo will perform on "Love In Asia" tomorrow (11/02) at 02:30PM (KST), KBS will broadcast the concert on 13 November at 07:30PM
263923421367377920	neutral	Game Day.. Arsenal Ladies vs Turbine Potsdam.. Champions League Last 16 1st Leg.. Get down and support the Gooners..!! #UWCL #ALFC
261626632647872513	neutral	Video Game Trailers - Launch Trailer: Check out the launch trailer for Mass Effect 3. Added: Fri Oct 26 00:11:11... http://t.co/8BHGTbtJ
264128396861272064	negative	My mama going to Jacksonville Saturday ,I would go but she want let me ,I'm on "punishment".!
260544083234287616	positive	Great seeing u. I'm host of Google+ Hangout #RomneyRally Wednesday of u want invite let me know #lynndebate @teachpr
264259680203857920	neutral	Nikon has once again proven it's a small world after all with the latest ... - Herald Sun http://t.co/ZRyswQZp
261958134501892096	neutral	Come out on Monday to watch THE WOMAN IN BLACK w/ the MODEL UN! Free Entry! Concessions w/ donation!! #SSU # http://t.co/PMsTAOcU
249198198890057728	positive	Niggas In Paris was playing in the waiting room at the clinic and this old lady sat tapping her walking stick and bobbing her head. So cute.
263128048264704000	negative	And to the 2 girls in front of us that sat down and played Temple Run the whole time, why did you even come? #confused
245610755406303232	positive	Loved the hair style from Friday's Jason Wu New York Fashion Week show? We're giving you the step-by-step to... http://t.co/fnc62FeG
250156149276545024	neutral	@lindalukita Chinese? On top of the international holidays, we have Chinese New Year Eve,Chinese New Year (Day 1&amp; 2),Chap Goh Mei (15th day)
264208680751353856	negative	Too Soon? Amazon Opens Black Friday Deals Store: Thanksgiving is weeks away, the World Series only ended on Sund... http://t.co/8DgZiecz
200178376756051969	neutral	@domeqwwfv1 may be its true becouse triple h arm has broken for reel or may be he will come back at the royal rumble
639301319396712448	positive	I'm the same height as Snoop Dogg wowie  smoke marijune erry sunday
639646079567327232	neutral	Snoop Dogg at Late Night with Jimmy Fallon #VMAs http://t.co/KByYBdllHo
639650213637042176	neutral	Snoop Dogg was not happy with Roger Goodell on Thursday, so he did what Snoop Dogg does best. http://t.co/Dja5PUQp6m http://t.co/mxmO0FSjWb
639808490249318402	positive	Snoop Dogg didn't start saying -izzle but he was the first to say something else! Find that out and more: Monday after Labor Day from 6-7pm!
640591485612650498	positive	Finally got my hands on Dre's new album #Compton. On my 3rd listen through and all I can think about is how Snoop Dogg went off!
640906424290254849	positive	May something in life make you as happy as Snoop Dogg with two giant bags of weed... https://t.co/U0MfcWWT1i
640916034749263872	positive	I need to become a celebrity so I can just be like yeah I'm chilling with Juicy J today, but I'll chill with you tomorrow Snoop Dogg.
641037652414742528	positive	Snoop dogg may be the funniest human alive
641218824579215360	neutral	I'm only ok with 3rd floor playing Snoop Dogg this early because I'm still on a gangsta rap high after seeing Straight Outta Compton #dope
641349309439479808	positive	SNOOP DOGG AKA SNOOPADELIC friday friday only $25 $25 at the new place on tow #GLOBE 740 S BROADWAY LA . for more... http://t.co/Xkl5uYkyPU
641648318754516992	positive	I can't stop thinking about the fact that I'm going to be in the presence of Snoop Dogg on Sunday
640343783956213760	neutral	I am having some major problems with Sony so probably no upload tonight I promise 2 tomorrow though. &lt;3 =)
641588798065876992	positive	.@kingsroadrocks Enjoy 'Fun on the Fly' with @OrvisUK in Green Park on the 16th from 4-6pm. Obama is a fan! http://t.co/UBdshFgOQl
641607922217160704	negative	Apparently a glut of Republican presidential candidates will be in Ames Saturday to make an already insane game day worse. Thanks, Obama.
